30683008,2023-01-07 17:34:29,Transform the Expression (Again!),internal error (0),BF
30683007,2023-01-07 17:33:58,Transform the Expression,accepted,BF
30682748,2023-01-07 16:23:36,Transform the Expression,runtime error (SIGABRT) ,BF
30682744,2023-01-07 16:22:47,Transform the Expression,accepted,C
30682694,2023-01-07 16:09:14,Transform the Expression (Again!),runtime error (SIGABRT) ,BF
30682545,2023-01-07 15:30:07,Transform the Expression,runtime error (SIGABRT) ,BF
30682537,2023-01-07 15:27:35,Transform the Expression (Again!),time limit exceeded,BF
30677526,2023-01-06 06:14:09,Driving Direction,accepted,CPP
30674630,2023-01-05 11:44:16,Driving Direction,wrong answer,CPP14
30673888,2023-01-05 08:16:26,F - Interesting Ranges,accepted,PYTHON3
30670978,2023-01-04 10:15:54,Tri,accepted,CPP
30670916,2023-01-04 09:58:58,Tri,time limit exceeded,CPP
30670781,2023-01-04 09:25:02,Tri,wrong answer,CPP
30670760,2023-01-04 09:17:11,Tri,time limit exceeded,CPP
30669891,2023-01-04 04:18:57,The BrainFast Processing! Classical version,accepted,BF
30667348,2023-01-03 11:11:42,The BrainFast Processing! Classical version,wrong answer,BF
30667328,2023-01-03 11:07:27,The BrainFast Processing! Classical version,wrong answer,BF
30667322,2023-01-03 11:05:35,The BrainFast Processing! Classical version,wrong answer,BF
30667315,2023-01-03 11:04:28,The BrainFast Processing! Classical version,wrong answer,BF
30667302,2023-01-03 11:02:18,The BrainFast Processing! Classical version,wrong answer,BF
